Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Haderslev";Mårhund;Han;Over 1 år;Han;5;8;5;4;6
2019/2020;"Haderslev";Mårhund;Tæve;Over 1 år;Hun;6;5;4;2;7
2019/2020;"Haderslev";Mårhund;Hvalp;Under 1 år;Han;1;0;1;0;0
2019/2020;"Haderslev";Mårhund;Hvalp;Under 1 år;Hun;5;0;0;0;0
2019/2020;"Haderslev";Mårhund;Hvalp;Under 1 år;;3;0;0;0;0
