Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Kolding";Rådyr;Råbuk;2+ år;Han;96;43;18;8;7;4;1
2018/2019;"Kolding";Rådyr;Råbuk;1 år;Han;11;6;6;3;9;3;1
2018/2019;"Kolding";Rådyr;Råbuk;;Han;51;18;14;9;3;1;1
2018/2019;"Kolding";Rådyr;Rå;2+ år;Hun;1;0;0;10;22;20;16
2018/2019;"Kolding";Rådyr;Rå;1 år;Hun;0;0;0;10;6;5;2
2018/2019;"Kolding";Rådyr;Rå;;Hun;0;0;0;13;30;17;7
2018/2019;"Kolding";Rådyr;Lam;Under 1 år;Han;0;0;0;8;17;6;5
2018/2019;"Kolding";Rådyr;Lam;Under 1 år;Hun;0;0;0;8;23;9;12
2018/2019;"Kolding";Rådyr;Lam;Under 1 år;;0;0;0;9;22;14;7
