Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2021/2022;"Syddjurs";Mårhund;Han;Over 1 år;Han;1;3;2;2;1
2021/2022;"Syddjurs";Mårhund;Han;;Han;2;0;0;0;0
2021/2022;"Syddjurs";Mårhund;Tæve;Over 1 år;Hun;2;4;1;1;1
2021/2022;"Syddjurs";Mårhund;Tæve;;Hun;2;0;0;0;0
2021/2022;"Syddjurs";Mårhund;Hvalp;Under 1 år;Hun;1;0;0;0;0
2021/2022;"Syddjurs";Mårhund;Hvalp;Under 1 år;;2;0;0;0;0
