Sæson;Kommune;Art;September;Oktober;November;December;Januar
2018/2019;"Hillerød";Mink;4;0;0;0;0
2018/2019;"Hillerød";Mink;0;1;0;0;0
2018/2019;"Hillerød";Mink;0;1;0;0;0
