Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2021/2022;"Næstved";Rådyr;Råbuk;2+ år;Han;147;35;17;3;1;3;1
2021/2022;"Næstved";Rådyr;Råbuk;1 år;Han;19;4;3;1;1;1;4
2021/2022;"Næstved";Rådyr;Råbuk;;Han;119;38;19;4;4;5;4
2021/2022;"Næstved";Rådyr;Rå;2+ år;Hun;0;0;0;5;4;15;22
2021/2022;"Næstved";Rådyr;Rå;1 år;Hun;0;0;0;0;4;7;9
2021/2022;"Næstved";Rådyr;Rå;;Hun;0;0;0;12;14;18;31
2021/2022;"Næstved";Rådyr;Lam;Under 1 år;Han;0;0;0;7;8;13;14
2021/2022;"Næstved";Rådyr;Lam;Under 1 år;Hun;0;0;0;7;13;32;40
2021/2022;"Næstved";Rådyr;Lam;Under 1 år;;0;0;0;3;7;7;6
