Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2015/2016;"Fanø";Ræv;Han;Over 1 år;Han;0;0;0;2;1;5;4;3
2015/2016;"Fanø";Ræv;Tæve;Over 1 år;Hun;0;0;0;2;4;0;4;2
2015/2016;"Fanø";Ræv;Hvalp;Under 1 år;Hun;0;0;0;0;0;0;0;1
