Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2014/2015;"Vesthimmerland";Ræv;Han;Over 1 år;Han;1;0;0;8;22;31;29;22
2014/2015;"Vesthimmerland";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;11;12;16;13
2014/2015;"Vesthimmerland";Ræv;Tæve;;Hun;0;0;0;0;1;0;0;2
2014/2015;"Vesthimmerland";Ræv;Hvalp;Under 1 år;Han;0;1;0;2;3;1;0;0
2014/2015;"Vesthimmerland";Ræv;Hvalp;Under 1 år;Hun;1;1;0;1;0;1;2;1
2014/2015;"Vesthimmerland";Ræv;Hvalp;Under 1 år;;14;5;0;0;4;2;0;1
