Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2018/2019;"Rødovre";Rådyr;Rå;;Hun;0;0;0;0;0;1;0
2018/2019;"Rødovre";Rådyr;Lam;Under 1 år;Hun;0;0;0;0;1;0;0
