Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2019/2020;"Langeland";Dådyr;Dåhjort;2+ år;Han;0;0;2;58;1
2019/2020;"Langeland";Dådyr;Dåhjort;1 år;Han;0;0;1;22;0
2019/2020;"Langeland";Dådyr;Dåhjort;;Han;0;0;0;33;0
2019/2020;"Langeland";Dådyr;Då;2+ år;Hun;0;0;5;26;31
2019/2020;"Langeland";Dådyr;Då;1 år;Hun;0;0;4;7;11
2019/2020;"Langeland";Dådyr;Då;;Hun;0;0;12;24;19
2019/2020;"Langeland";Dådyr;Kalv;Under 1 år;Han;0;0;7;18;7
2019/2020;"Langeland";Dådyr;Kalv;Under 1 år;Hun;0;0;6;21;15
2019/2020;"Langeland";Dådyr;Kalv;Under 1 år;;0;0;11;19;7
