Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Hillerød";Rådyr;Råbuk;2+ år;Han;41;7;8;4;1;3;0
2019/2020;"Hillerød";Rådyr;Råbuk;1 år;Han;8;5;3;0;2;3;1
2019/2020;"Hillerød";Rådyr;Råbuk;;Han;26;14;2;4;0;0;3
2019/2020;"Hillerød";Rådyr;Rå;2+ år;Hun;0;0;0;7;8;8;10
2019/2020;"Hillerød";Rådyr;Rå;1 år;Hun;0;0;0;0;4;1;3
2019/2020;"Hillerød";Rådyr;Rå;;Hun;1;0;0;8;10;6;7
2019/2020;"Hillerød";Rådyr;Lam;Under 1 år;Han;0;0;0;3;6;1;5
2019/2020;"Hillerød";Rådyr;Lam;Under 1 år;Hun;0;0;0;5;9;1;6
2019/2020;"Hillerød";Rådyr;Lam;Under 1 år;;0;0;0;4;6;3;1
2019/2020;"Hillerød";Rådyr;Ikke angivet;;Han;2;0;0;1;0;0;0
