Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2017/2018;"Rødovre";Ræv;Han;Over 1 år;Han;0;0;0;1;0;0;0;0
2017/2018;"Rødovre";Ræv;Hvalp;Under 1 år;Hun;0;0;1;0;0;0;0;0
2017/2018;"Rødovre";Ræv;Hvalp;Under 1 år;;4;2;0;0;0;0;0;0
