Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2020/2021;"Rebild";Mårhund;Han;Over 1 år;Han;2;2;1;1;0
2020/2021;"Rebild";Mårhund;Tæve;Over 1 år;Hun;3;2;0;0;0
