Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2013/2014;"Næstved";Ræv;Han;Over 1 år;Han;1;0;1;6;7;11;17;15
2013/2014;"Næstved";Ræv;Tæve;Over 1 år;Hun;0;0;1;1;6;9;19;20
2013/2014;"Næstved";Ræv;Tæve;;Hun;0;0;0;1;0;0;0;1
2013/2014;"Næstved";Ræv;Hvalp;Under 1 år;Han;2;2;0;0;1;0;0;0
2013/2014;"Næstved";Ræv;Hvalp;Under 1 år;Hun;0;1;0;0;2;0;2;0
2013/2014;"Næstved";Ræv;Hvalp;Under 1 år;;4;6;15;6;7;2;0;0
