Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2013/2014;"Skanderborg";Dådyr;Dåhjort;2+ år;Han;0;0;1;0;1
2013/2014;"Skanderborg";Dådyr;Då;;Hun;0;0;1;1;0
2013/2014;"Skanderborg";Dådyr;Kalv;Under 1 år;;0;0;0;1;0
