Sæson;Kommune;Art;Type;Alder;Køn;Maj;Juni;Juli;Oktober;November;December;Januar
2019/2020;"Kerteminde";Rådyr;Råbuk;2+ år;Han;32;10;2;2;2;0;0
2019/2020;"Kerteminde";Rådyr;Råbuk;1 år;Han;7;3;2;0;1;0;0
2019/2020;"Kerteminde";Rådyr;Råbuk;;Han;18;5;1;2;1;1;0
2019/2020;"Kerteminde";Rådyr;Rå;2+ år;Hun;0;1;0;2;3;3;4
2019/2020;"Kerteminde";Rådyr;Rå;1 år;Hun;0;0;0;1;0;3;0
2019/2020;"Kerteminde";Rådyr;Rå;;Hun;0;0;0;2;3;1;5
2019/2020;"Kerteminde";Rådyr;Lam;Under 1 år;Han;0;0;0;3;1;4;1
2019/2020;"Kerteminde";Rådyr;Lam;Under 1 år;Hun;0;0;0;3;3;4;5
2019/2020;"Kerteminde";Rådyr;Lam;Under 1 år;;0;0;0;2;2;4;2
