Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2014/2015;"Holstebro";Krondyr;Kronhjort;2+ år;Han;15;11;8;10;1
2014/2015;"Holstebro";Krondyr;Kronhjort;1 år;Han;16;4;7;5;6
2014/2015;"Holstebro";Krondyr;Kronhjort;;Han;5;1;5;2;1
2014/2015;"Holstebro";Krondyr;Kronhind;2+ år;Hun;0;15;12;15;21
2014/2015;"Holstebro";Krondyr;Kronhind;1 år;Hun;0;4;3;3;8
2014/2015;"Holstebro";Krondyr;Kronhind;;Hun;1;14;15;11;9
2014/2015;"Holstebro";Krondyr;Kalv;Under 1 år;Han;3;6;3;5;3
2014/2015;"Holstebro";Krondyr;Kalv;Under 1 år;Hun;6;12;8;10;8
2014/2015;"Holstebro";Krondyr;Kalv;Under 1 år;;6;5;12;8;5
