Sæson;Kommune;Art;Type;Alder;Køn;Juni;Juli;August;September;Oktober;November;December;Januar
2020/2021;"Kerteminde";Ræv;Han;Over 1 år;Han;0;1;0;3;4;2;5;10
2020/2021;"Kerteminde";Ræv;Tæve;Over 1 år;Hun;0;0;0;0;0;1;1;5
2020/2021;"Kerteminde";Ræv;Hvalp;Under 1 år;Han;0;2;0;0;0;0;0;0
2020/2021;"Kerteminde";Ræv;Hvalp;Under 1 år;;0;1;0;0;0;0;2;1
