årstal;antal
1966;20700
1967;33700
1968;35700
1969;40700
1970;30200
1971;35800
1972;21500
1973;24000
1974;16900
1975;21200
1976;19751
1977;17122
1978;13814
1979;19845
1980;20913
1981;16631
1982;17318
1983;18653
1984;15845
1985;21912
1986;8184
1987;6334
1988;11527
1989;9928
1990;12044
1991;9891
1992;8542
1993;10822
1994;7960
1995;9192
1996;5263
1997;3327
1998;2717
1999;3431
2000;3795
2001;3700
2002;3265
2003;4418
2004;4296
2005;7256
