årstal;antal
2006;677
2007;1155
2008;1498
2009;1934
2010;1982
2011;1343
2012;2882
2013;2310
2014;2515
2015;3668
2016;4152
2017;3349
2018;4414
2019;3415
2020;3835
2021;3474
2022;3038
