årstal;antal
2006;2004
2007;2087
2008;2231
2009;2386
2010;2057
2011;2079
2012;2147
2013;1943
2014;2010
2015;1886
2016;1819
2017;1646
2018;1685
2019;1637
2020;1460
2021;1329
2022;1222
