årstal;antal
2006;2659
2007;2197
2008;2357
2009;2120
2010;1800
2011;2009
2012;3533
2013;3239
2014;2796
2015;2517
2016;2805
2017;1681
2018;2625
2019;1947
2020;2516
2021;2512
2022;3478
