årstal;antal
1952;0
1953;0
1954;0
1955;1013
1956;785
1957;1142
1958;664
1959;627
1960;396
1961;573
1962;551
1963;574
1964;520
1965;523
1966;505
1967;525
1968;561
1969;487
1970;384
1971;404
1972;400
1973;481
1974;367
1975;427
1976;316
1977;322
1978;207
1979;209
1980;209
1981;238
1982;142
