årstal;antal
2006;2171
2007;1292
2008;1171
2009;2684
2010;2681
2011;1756
2012;2501
2013;1767
2014;2043
2015;1562
2016;2172
2017;1744
2018;1923
2019;1687
2020;2265
2021;1814
2022;1410
