årstal;antal
2006;13057
2007;12941
2008;12746
2009;12682
2010;11749
2011;11796
2012;11817
2013;11692
2014;13064
2015;13480
2016;12750
2017;12426
2018;14407
2019;13264
2020;11216
2021;12989
2022;13091
