årstal;antal
1952;0
1953;0
1954;0
1955;1443
1956;1155
1957;2067
1958;1125
1959;1221
1960;1110
1961;893
1962;651
1963;676
1964;709
1965;852
1966;504
1967;603
1968;737
1969;471
1970;431
1971;406
1972;257
1973;270
1974;253
1975;242
1976;169
1977;345
1978;314
1979;186
1980;173
1981;136
1982;156
1983;101
1984;137
1985;234
1986;165
1987;97
1988;110
1989;50
1990;4
1991;27
1992;14
1993;10
