årstal;antal
1941;0
1942;0
1943;0
1944;0
1945;0
1946;0
1947;0
1948;0
1949;0
1950;0
1951;0
1952;0
1953;0
1954;0
1955;0
1956;0
1957;0
1958;11
1959;1
1960;6
1961;5
1962;7
1963;3
1964;1
1965;0
1966;1
1967;5
1968;3
1969;3
1970;154
1971;2
1972;1
1973;4
1974;2
1975;1
1976;0
