årstal;antal
2006;4356
2007;4064
2008;4033
2009;4699
2010;3865
2011;3363
2012;3873
2013;4059
2014;2947
2015;3041
2016;2951
2017;2634
2018;2623
2019;2098
2020;2247
2021;1768
2022;1797
