årstal;antal
2006;2493
2007;2386
2008;2858
2009;3072
2010;2543
2011;2604
2012;2651
2013;1948
2014;2681
2015;2736
2016;2718
2017;2075
2018;2365
2019;1841
2020;2254
2021;2400
2022;2479
